Time: 2022-11-01 15:04:07 ms:110 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:04:07 ms:110 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:04:07 ms:110 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:04:07 ms:110 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:04:07 ms:110 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:04:07 ms:110 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:04:17 ms:451 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:04:20 ms:432 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:04:23 ms:445 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:04:26 ms:448 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:04:29 ms:462 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:04:32 ms:479 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:04:35 ms:491 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:04:44 ms:482 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:04:47 ms:475 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:17:32 ms:451 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:17:35 ms:432 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:17:38 ms:446 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:17:41 ms:449 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:17:44 ms:459 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:17:47 ms:460 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:17:50 ms:461 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:17:53 ms:479 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:17:56 ms:480 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:17:59 ms:498 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:18:02 ms:506 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:18:05 ms:509 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:18:08 ms:508 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:18:11 ms:509 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:18:14 ms:523 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:18:17 ms:524 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:18:20 ms:538 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:18:23 ms:540 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:18:26 ms:541 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:18:29 ms:554 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 15:18:32 ms:557 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:30:06 ms:329 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:30:09 ms:305 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:30:12 ms:321 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:30:15 ms:322 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:30:18 ms:335 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:30:21 ms:350 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:30:24 ms:352 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:30:27 ms:353 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:30:30 ms:355 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:30:33 ms:367 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:30:36 ms:383 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:30:39 ms:383 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:30:42 ms:384 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:30:45 ms:385 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:30:48 ms:398 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:30:51 ms:411 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:50:16 ms:977 Level: LOG ERROR    Message: XSystem socket fail to send command
